post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,437,41,armanified,2026-04-06 14:45:00.907628,1.0938215102974829,True
47658146,France pulls last gold held in US for $15B gain,technology,53,32,teleforce,2026-04-06 14:45:02.028235,1.6037735849056602,False
47622591,Jobs Being Created by AI,technology,9,3,Jimmc414,2026-04-06 14:45:11.403969,1.3333333333333333,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,75,14,ikessler,2026-04-06 14:45:12.495743,1.1866666666666668,False
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,79,4,karimf,2026-04-06 14:45:16.003689,1.0506329113924051,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,271,66,vbtechguy,2026-04-06 14:45:17.956630,1.2435424354243543,True
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,14,1,stevebmark,2026-04-06 14:45:18.944059,1.0714285714285714,False
47656335,Does coding with LLMs mean more microservices?,technology,21,5,jer0me,2026-04-06 14:45:23.109932,1.2380952380952381,False
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,150,47,MoltenMonster,2026-04-06 16:01:43.975068,1.3133333333333335,False
47650312,A tail-call interpreter in (nightly) Rust,technology,168,40,g0xA52A2A,2026-04-06 16:01:45.679595,1.2380952380952381,False
47648828,"Eight years of wanting, three months of building with AI",technology,790,238,brilee,2026-04-06 16:01:46.875199,1.3012658227848102,True
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,189,26,desideratum,2026-04-06 16:01:53.428560,1.1375661375661377,False
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,164,106,1vuio0pswjnm7,2026-04-06 16:02:05.711813,1.6463414634146343,False
47640728,Show HN: A game where you build a GPU,technology,914,178,Jaso1024,2026-04-06 16:02:12.165946,1.1947483588621444,True
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,technology,20,3,hudsongr,2026-04-06 16:02:15.215781,1.15,False
47657652,China fell for a lobster: What an AI assistant tells us about Beijing's ambition,technology,12,0,tmoravec,2026-04-06 16:02:18.165911,1.0,False
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 16:02:20.596986,1.0,False
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,46,15,alvivanco,2026-04-06 16:02:24.666274,1.3260869565217392,False
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,14,4,mikhael,2026-04-06 16:02:26.448994,1.2857142857142856,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,505,232,naves,2026-04-06 16:02:28.224610,1.4594059405940594,True
47636765,Endian wars and anti-portability: this again?,technology,44,50,awilfox,2026-04-06 16:02:30.129292,2.1363636363636367,False
47655480,Make Humans Analog Again,technology,6,0,muunbo,2026-04-06 16:02:36.740094,1.0,False
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,39,9,mikhael,2026-04-06 16:02:42.006282,1.2307692307692308,False
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1077,818,firloop,2026-04-06 16:02:46.368721,1.7595171773444753,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,643,195,Anon84,2026-04-06 16:02:47.337598,1.3032659409020217,True
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,876,580,zaikunzhang,2026-04-06 16:03:33.739312,1.6621004566210047,True
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,49,15,zdw,2026-04-06 16:04:14.845569,1.306122448979592,False
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,10,anigbrowl,2026-04-06 16:04:37.319127,1.263157894736842,False
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 16:05:46.757584,1.547945205479452,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 16:06:07.764470,1.3514431239388793,True
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 16:06:11.508339,1.5294117647058822,False
47653816,UK intelligence censored report on global warming and homeland security,worldnews,93,53,ewidar,2026-04-06 16:07:05.586151,1.5698924731182795,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 16:07:19.444110,1.5,True
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 16:08:54.575189,1.7593984962406015,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-06 16:10:54.070639,2.395348837209302,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,122,78,keepamovin,2026-04-06 16:11:25.251167,1.639344262295082,False
47637377,LÖVE: 2D Game Framework for Lua,sports,314,138,cl3misch,2026-04-06 16:11:27.126408,1.4394904458598727,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,218,143,pseudolus,2026-04-06 16:13:33.591704,1.6559633027522935,True
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 16:13:39.845764,1.1666666666666667,False
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 16:14:23.705770,1.4329896907216495,False
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 16:14:27.405376,1.953125,False
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 16:14:34.200408,1.4673495518565942,True
