post_id,title,category,score,num_comments,author,collected_at
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,437,41,armanified,2026-04-06 14:45:00.907628
47658146,France pulls last gold held in US for $15B gain,technology,53,32,teleforce,2026-04-06 14:45:02.028235
47622591,Jobs Being Created by AI,technology,9,3,Jimmc414,2026-04-06 14:45:11.403969
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,75,14,ikessler,2026-04-06 14:45:12.495743
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,79,4,karimf,2026-04-06 14:45:16.003689
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,271,66,vbtechguy,2026-04-06 14:45:17.956630
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,14,1,stevebmark,2026-04-06 14:45:18.944059
47656335,Does coding with LLMs mean more microservices?,technology,21,5,jer0me,2026-04-06 14:45:23.109932
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,150,47,MoltenMonster,2026-04-06 16:01:43.975068
47650312,A tail-call interpreter in (nightly) Rust,technology,168,40,g0xA52A2A,2026-04-06 16:01:45.679595
47648828,"Eight years of wanting, three months of building with AI",technology,790,238,brilee,2026-04-06 16:01:46.875199
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,189,26,desideratum,2026-04-06 16:01:53.428560
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,164,106,1vuio0pswjnm7,2026-04-06 16:02:05.711813
47640728,Show HN: A game where you build a GPU,technology,914,178,Jaso1024,2026-04-06 16:02:12.165946
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,technology,20,3,hudsongr,2026-04-06 16:02:15.215781
47657652,China fell for a lobster: What an AI assistant tells us about Beijing's ambition,technology,12,0,tmoravec,2026-04-06 16:02:18.165911
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 16:02:20.596986
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,46,15,alvivanco,2026-04-06 16:02:24.666274
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,14,4,mikhael,2026-04-06 16:02:26.448994
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,505,232,naves,2026-04-06 16:02:28.224610
47636765,Endian wars and anti-portability: this again?,technology,44,50,awilfox,2026-04-06 16:02:30.129292
47655480,Make Humans Analog Again,technology,6,0,muunbo,2026-04-06 16:02:36.740094
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,39,9,mikhael,2026-04-06 16:02:42.006282
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1077,818,firloop,2026-04-06 16:02:46.368721
47637757,Embarrassingly simple self-distillation improves code generation,technology,643,195,Anon84,2026-04-06 16:02:47.337598
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,876,580,zaikunzhang,2026-04-06 16:03:33.739312
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,49,15,zdw,2026-04-06 16:04:14.845569
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,10,anigbrowl,2026-04-06 16:04:37.319127
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 16:05:46.757584
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 16:06:07.764470
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 16:06:11.508339
47653816,UK intelligence censored report on global warming and homeland security,worldnews,93,53,ewidar,2026-04-06 16:07:05.586151
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 16:07:19.444110
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 16:08:54.575189
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-06 16:10:54.070639
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,122,78,keepamovin,2026-04-06 16:11:25.251167
47637377,LÖVE: 2D Game Framework for Lua,sports,314,138,cl3misch,2026-04-06 16:11:27.126408
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,218,143,pseudolus,2026-04-06 16:13:33.591704
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 16:13:39.845764
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 16:14:23.705770
